"","Config","Dimensao","Repeticao","Valor"
"1","Config 1",2,0,2.56486498723016e-05
"2","Config 1",2,1,0.0124993254577302
"3","Config 1",2,2,4.23539729446821e-05
"4","Config 1",2,3,0.000252448000507658
"5","Config 1",2,4,0.00718775051564414
"6","Config 1",2,5,0.00401791783533806
"7","Config 1",2,6,4.21448751135024e-06
"8","Config 1",2,7,0.00155305458914308
"9","Config 1",2,8,0.000139870805481442
"10","Config 1",2,9,0.00149049642311504
"11","Config 1",2,10,0.000153089936902153
"12","Config 1",2,11,0.00109096395108568
"13","Config 1",2,12,0.00730213159351469
"14","Config 1",2,13,0.0137168335421248
"15","Config 1",2,14,5.91852551633248e-05
"16","Config 1",2,15,0.0547225431103199
"17","Config 1",2,16,0.000120270904641574
"18","Config 1",2,17,0.000236074229116401
"19","Config 1",2,18,0.000597870080264254
"20","Config 1",2,19,3.29409657687436e-05
"21","Config 1",2,20,0.000690846928217566
"22","Config 1",2,21,0.000523179703999084
"23","Config 1",2,22,8.39346450618784e-05
"24","Config 1",2,23,0.000624807202777304
"25","Config 1",2,24,0.0123618609097358
"26","Config 1",2,25,0.000637966489292397
"27","Config 1",2,26,0.000726523120525995
"28","Config 1",2,27,0.0113708235349868
"29","Config 1",2,28,0.00663284371519221
"30","Config 1",2,29,0.030520456543964
"31","Config 1",2,30,0.000424961884405016
"32","Config 1",2,31,0.00110279816073145
"33","Config 1",2,32,0.0074412188852486
"34","Config 1",2,33,2.50143168433993e-05
"35","Config 1",2,34,3.85347136090518e-05
"36","Config 1",2,35,0.0118592542430181
"37","Config 1",2,36,0.0315424814050894
"38","Config 1",2,37,0.000515440705803161
"39","Config 1",2,38,0.000105199511456821
"40","Config 1",2,39,0.0135338389230795
"41","Config 1",2,40,0.000119401457629037
"42","Config 1",2,41,0.000976956243730564
"43","Config 1",2,42,6.45229241763566e-05
"44","Config 1",2,43,4.20099619647471e-05
"45","Config 1",2,44,0.000947745634112603
"46","Config 1",2,45,0.0204948146686254
"47","Config 1",2,46,0.0175076835277951
"48","Config 1",2,47,0.00495680591499052
"49","Config 2",2,0,0.0648662591373738
"50","Config 2",2,1,0.0238870880607073
"51","Config 2",2,2,0.736427411996013
"52","Config 2",2,3,0.367041446067569
"53","Config 2",2,4,5.44448421782634
"54","Config 2",2,5,0.60002375157648
"55","Config 2",2,6,0.615211597782575
"56","Config 2",2,7,5.03505086471743
"57","Config 2",2,8,0.129371339423436
"58","Config 2",2,9,0.0147540747372403
"59","Config 2",2,10,0.335395641856814
"60","Config 2",2,11,4.77790832951967
"61","Config 2",2,12,0.0347190628804272
"62","Config 2",2,13,14.1201150033585
"63","Config 2",2,14,0.217565699733085
"64","Config 2",2,15,1.77752424125528
"65","Config 2",2,16,10.4894507447446
"66","Config 2",2,17,5.10795792848447
"67","Config 2",2,18,2.55427165862007
"68","Config 2",2,19,1.17703674686584
"69","Config 2",2,20,99.7804759457609
"70","Config 2",2,21,0.0192566664664665
"71","Config 2",2,22,0.439041305781675
"72","Config 2",2,23,3.14551187869322
"73","Config 2",2,24,0.26910486129641
"74","Config 2",2,25,0.0276953558905898
"75","Config 2",2,26,1.70982473683439
"76","Config 2",2,27,0.82629455635999
"77","Config 2",2,28,1.0451796531739
"78","Config 2",2,29,0.00270334089406088
"79","Config 2",2,30,0.426974776047642
"80","Config 2",2,31,4.48489980587224
"81","Config 2",2,32,6.4188312286793
"82","Config 2",2,33,0.277518769896747
"83","Config 2",2,34,19.5871251091341
"84","Config 2",2,35,1.00067744609367
"85","Config 2",2,36,5.65822312769833
"86","Config 2",2,37,2.73476841623699
"87","Config 2",2,38,7.66861097199724
"88","Config 2",2,39,1.11986741250328
"89","Config 2",2,40,4.68237859632467
"90","Config 2",2,41,1.68304913554278
"91","Config 2",2,42,0.676042698043024
"92","Config 2",2,43,0.562603812154545
"93","Config 2",2,44,0.0414672717889805
"94","Config 2",2,45,0.0588181522866943
"95","Config 2",2,46,0.0125823304268403
"96","Config 2",2,47,205.687860274312
"97","Config 1",6,0,80.444798428365
"98","Config 1",6,1,129.344485113868
"99","Config 1",6,2,197.80620842494
"100","Config 1",6,3,128.499957346258
"101","Config 1",6,4,197.531398267686
"102","Config 1",6,5,224.303825029706
"103","Config 1",6,6,111.767274645584
"104","Config 1",6,7,169.537928811684
"105","Config 1",6,8,73.5473674177574
"106","Config 1",6,9,97.0474807622894
"107","Config 1",6,10,98.6622423397971
"108","Config 1",6,11,238.577668123431
"109","Config 1",6,12,86.6341967515379
"110","Config 1",6,13,153.697960898191
"111","Config 1",6,14,97.1292823228623
"112","Config 1",6,15,86.8656687226084
"113","Config 1",6,16,246.723830340182
"114","Config 1",6,17,66.8824111473674
"115","Config 1",6,18,221.427048437979
"116","Config 1",6,19,159.147487230807
"117","Config 1",6,20,134.092608742721
"118","Config 1",6,21,324.719040903875
"119","Config 1",6,22,62.6982612826132
"120","Config 1",6,23,119.811480229931
"121","Config 1",6,24,210.201231215961
"122","Config 1",6,25,175.87806272921
"123","Config 1",6,26,91.7026438730934
"124","Config 1",6,27,343.007666782646
"125","Config 1",6,28,178.723552714
"126","Config 1",6,29,59.8617713762133
"127","Config 1",6,30,86.8518760456101
"128","Config 1",6,31,135.031588998583
"129","Config 1",6,32,67.3501596051938
"130","Config 1",6,33,65.7391547620286
"131","Config 1",6,34,146.821460245075
"132","Config 1",6,35,134.578742196967
"133","Config 1",6,36,198.630273267545
"134","Config 1",6,37,377.675727242761
"135","Config 1",6,38,154.723991546269
"136","Config 1",6,39,179.546499036901
"137","Config 1",6,40,173.585491664503
"138","Config 1",6,41,99.9770775526661
"139","Config 1",6,42,149.515016551227
"140","Config 1",6,43,95.0270338635796
"141","Config 1",6,44,135.063625322475
"142","Config 1",6,45,257.017327388636
"143","Config 1",6,46,165.92202382533
"144","Config 1",6,47,71.3573144192201
"145","Config 2",6,0,0.635174191523032
"146","Config 2",6,1,0.414930574330432
"147","Config 2",6,2,0.622281598774018
"148","Config 2",6,3,0.46922430153599
"149","Config 2",6,4,1.73737960191523
"150","Config 2",6,5,4.27360049851513
"151","Config 2",6,6,0.163007315095899
"152","Config 2",6,7,0.440013560040134
"153","Config 2",6,8,0.356477130955556
"154","Config 2",6,9,1.36200948655672
"155","Config 2",6,10,0.448590398286682
"156","Config 2",6,11,0.767405306844828
"157","Config 2",6,12,0.52176785556774
"158","Config 2",6,13,0.459550437778738
"159","Config 2",6,14,1.85789198385256
"160","Config 2",6,15,0.266867951676287
"161","Config 2",6,16,0.0601327005730847
"162","Config 2",6,17,0.376499325674403
"163","Config 2",6,18,0.488015399149563
"164","Config 2",6,19,1.01733471680226
"165","Config 2",6,20,1.22415557857162
"166","Config 2",6,21,0.305870883535742
"167","Config 2",6,22,0.0579304280655759
"168","Config 2",6,23,0.535567401003804
"169","Config 2",6,24,1.49995761223545
"170","Config 2",6,25,0.309123066384188
"171","Config 2",6,26,0.313646210313349
"172","Config 2",6,27,0.162959589035598
"173","Config 2",6,28,5.41944363429385
"174","Config 2",6,29,3.82990315505265
"175","Config 2",6,30,0.390308882962147
"176","Config 2",6,31,0.603534031613282
"177","Config 2",6,32,3.76658984494535
"178","Config 2",6,33,0.954661051335293
"179","Config 2",6,34,0.336134040121504
"180","Config 2",6,35,0.108228142903243
"181","Config 2",6,36,0.148208900344185
"182","Config 2",6,37,0.429185528342156
"183","Config 2",6,38,5.41969030369508
