"","Config 1","Config 2"
"2",0.00430773651966626,1.2557382956032
"6",103.273089032577,0.265107180765734
"10",11357.0771055828,4.06242184357748
"14",104378.293272847,12.3939383039193
"18",228162.224976454,27.2342341858758
"22",339020.629911027,52.4771915735653
"26",500711.533166567,117.796163335493
"30",637470.233091734,184.68158790159
"34",838763.231927324,350.425860690409
"38",990874.756055845,520.736457715586
"42",1098379.22837838,896.206180733627
"46",1184023.67893136,1612.32108899026
"50",1622299.2674496,1888.21814175624
"54",1609815.58549172,3633.50905626871
"58",1767970.37616178,5114.82986336477
"62",2006822.76417509,7387.78414673042
"66",3289168.27226774,9466.64676811529
"70",4151067.86117176,16123.4644937827
"74",4075183.36339774,24095.6647605176
"78",4231495.27386127,29578.2852782454
"82",4320699.27629019,41559.8884169769
"86",5501612.73464072,46702.9274991577
"90",6194530.16002324,73869.8596332239
"94",6425466.52795161,84380.8068507274
"98",6621030.34303324,117729.203211923
"102",6658450.75053401,125514.091366938
"106",7100746.4961633,139623.17505329
"110",6579140.80813551,217317.369215616
"114",7485438.3474085,262397.811445631
"118",8482574.27858939,279942.593432393
"122",9191015.77308986,344206.93358511
"126",9298617.65883972,398396.009373038
"130",10109137.1517755,424326.109451405
"134",9610833.21880216,490216.115836115
"138",9788230.72709013,599937.558140026
"142",10142041.0861037,615846.063189795
"146",11984919.3335743,694586.688817973
"150",11801208.6502574,747343.5649527
