"","Config 1","Config 2"
"2",0.00585660229546357,8.82646772385071
"6",151.264358832244,1.00853701338935
"10",14127.7157936656,4.39008653771233
"14",95050.5242891144,12.5365713307086
"18",207530.591347578,25.9118484910153
"22",360202.39209661,53.7520748847033
"26",474509.998420091,109.226239373315
"30",630877.917366318,192.537814543301
"34",785429.886774399,308.885651157941
"38",948120.169569722,518.384175115098
"42",1132068.15321249,830.451254989321
"46",1269470.40667652,1404.74035653379
"50",1502814.41327879,2289.14187018555
"54",1776029.03006444,3519.04560497941
"58",2393564.05778734,5623.4122721688
"62",3122677.20987827,8041.24431662486
"66",3697113.38733291,11449.2920632258
"70",4254641.09310413,16840.0701758509
"74",4447886.52618869,22605.7814964339
"78",4890662.4470359,31500.4556586454
"82",5377763.27120358,39901.5946802059
"86",5496083.97105978,52925.1979646736
"90",5877276.54997799,71102.9660691335
"94",6285707.35850134,87895.2293080991
"98",6770550.265903,116509.685753351
"102",6990571.74675296,141104.014850313
"106",7288577.76057588,169395.364300431
"110",7697371.01022263,204280.587552896
"114",8146576.6644181,242679.522268409
"118",8453790.06244926,286139.501000752
"122",8884875.42772976,332666.687942763
"126",9220712.06256163,384370.611280216
"130",9541218.62503675,435827.583808529
"134",10024655.101578,499274.765420374
"138",10226284.9494953,556238.400225358
"142",10706128.1110959,630289.084724152
"146",11199747.9040063,686323.088355969
"150",11380217.9012053,757929.570138771
