"","Dimensão","Configuração","Resultado","dim_numeric"
"1","2","Config 1",0.00585660229546357,2
"2","6","Config 1",151.264358832244,6
"3","10","Config 1",14127.7157936656,10
"4","14","Config 1",95050.5242891144,14
"5","18","Config 1",207530.591347578,18
"6","22","Config 1",360202.39209661,22
"7","26","Config 1",474509.998420091,26
"8","30","Config 1",630877.917366318,30
"9","34","Config 1",785429.886774399,34
"10","38","Config 1",948120.169569722,38
"11","42","Config 1",1132068.15321249,42
"12","46","Config 1",1269470.40667652,46
"13","50","Config 1",1502814.41327879,50
"14","54","Config 1",1776029.03006444,54
"15","58","Config 1",2393564.05778734,58
"16","62","Config 1",3122677.20987827,62
"17","66","Config 1",3697113.38733291,66
"18","70","Config 1",4254641.09310413,70
"19","74","Config 1",4447886.52618869,74
"20","78","Config 1",4890662.4470359,78
"21","82","Config 1",5377763.27120358,82
"22","86","Config 1",5496083.97105978,86
"23","90","Config 1",5877276.54997799,90
"24","94","Config 1",6285707.35850134,94
"25","98","Config 1",6770550.265903,98
"26","102","Config 1",6990571.74675296,102
"27","106","Config 1",7288577.76057588,106
"28","110","Config 1",7697371.01022263,110
"29","114","Config 1",8146576.6644181,114
"30","118","Config 1",8453790.06244926,118
"31","122","Config 1",8884875.42772976,122
"32","126","Config 1",9220712.06256163,126
"33","130","Config 1",9541218.62503675,130
"34","134","Config 1",10024655.101578,134
"35","138","Config 1",10226284.9494953,138
"36","142","Config 1",10706128.1110959,142
"37","146","Config 1",11199747.9040063,146
"38","150","Config 1",11380217.9012053,150
"39","2","Config 2",8.82646772385071,2
"40","6","Config 2",1.00853701338935,6
"41","10","Config 2",4.39008653771233,10
"42","14","Config 2",12.5365713307086,14
"43","18","Config 2",25.9118484910153,18
"44","22","Config 2",53.7520748847033,22
"45","26","Config 2",109.226239373315,26
"46","30","Config 2",192.537814543301,30
"47","34","Config 2",308.885651157941,34
"48","38","Config 2",518.384175115098,38
"49","42","Config 2",830.451254989321,42
"50","46","Config 2",1404.74035653379,46
"51","50","Config 2",2289.14187018555,50
"52","54","Config 2",3519.04560497941,54
"53","58","Config 2",5623.4122721688,58
"54","62","Config 2",8041.24431662486,62
"55","66","Config 2",11449.2920632258,66
"56","70","Config 2",16840.0701758509,70
"57","74","Config 2",22605.7814964339,74
"58","78","Config 2",31500.4556586454,78
"59","82","Config 2",39901.5946802059,82
"60","86","Config 2",52925.1979646736,86
"61","90","Config 2",71102.9660691335,90
"62","94","Config 2",87895.2293080991,94
"63","98","Config 2",116509.685753351,98
"64","102","Config 2",141104.014850313,102
"65","106","Config 2",169395.364300431,106
"66","110","Config 2",204280.587552896,110
"67","114","Config 2",242679.522268409,114
"68","118","Config 2",286139.501000752,118
"69","122","Config 2",332666.687942763,122
"70","126","Config 2",384370.611280216,126
"71","130","Config 2",435827.583808529,130
"72","134","Config 2",499274.765420374,134
"73","138","Config 2",556238.400225358,138
"74","142","Config 2",630289.084724152,142
"75","146","Config 2",686323.088355969,146
"76","150","Config 2",757929.570138771,150
